N,aimed_PNbig,Nbig,Nsmall,NA,aimed_PAbig,NAbig,NAsmall,NBbig,NBsmall,PA,PAbig,PNbig,PABbig,PABsmall,diff_PAB_bigsmall,congruent,cong_tr_ix,side_cloud1,trial_family,total_elem,total_shapeA,total_shapeB,prop_shapeA_total,elem1,shapeA1,shapeB1,elem2,shapeA2,shapeB2,prop_elem_L_R,prop_shapeA_L_R,trial_ix,stimulus_type,resp_type,block_type,left_opt_best,best_opt,left_best,best_resp,trial_nb,block_nb,block_length,elem_look_at,resp_modality,switch_family,switch_type,same_resp_as_previous,transition_trials,transition_stimulus,transition_response,allow_break
75,0.52,39,36,32,0.44,14,18,25,18,0.426666666666667,0.4375,0.52,0.56,1,-0.44,0,16,1,16,75,32,43,0.426666666666667,39,14,25,36,18,18,0.52,0.4375,240,2,1,2,0,2,0,2,17,2,10,1,0,0,0,1,0,0,0,0
75,0.56,43,32,38,0.54,21,17,22,15,0.506666666666667,0.552631578947368,0.573333333333333,0.954545454545455,1.13333333333333,-0.178787878787879,1,31,1,87,75,38,37,0.506666666666667,43,21,22,32,17,15,0.573333333333333,0.552631578947368,311,2,1,2,1,1,1,1,18,2,10,1,0,0,0,0,0,0,0,0
85,0.54,46,39,26,0.52,14,12,32,27,0.305882352941176,0.538461538461538,0.541176470588235,0.4375,0.444444444444444,-0.00694444444444442,1,41,1,97,85,26,59,0.305882352941176,46,14,32,39,12,27,0.541176470588235,0.538461538461538,321,2,1,2,1,1,1,1,19,2,10,1,0,0,0,1,0,0,0,0
75,0.54,41,34,31,0.46,14,17,27,17,0.413333333333333,0.451612903225806,0.546666666666667,0.518518518518518,1,-0.481481481481482,0,22,2,22,75,31,44,0.413333333333333,34,17,17,41,14,27,0.453333333333333,0.548387096774194,22,1,1,1,0,2,0,2,20,3,6,0,0,1,2,0,1,1,0,0
85,0.54,46,39,35,0.56,20,15,26,24,0.411764705882353,0.571428571428571,0.541176470588235,0.769230769230769,0.625,0.144230769230769,1,45,2,101,85,35,50,0.411764705882353,39,15,24,46,20,26,0.458823529411765,0.428571428571429,101,1,1,1,0,2,0,2,21,3,6,0,0,0,0,1,0,0,0,0
65,0.54,36,29,26,0.56,15,11,21,18,0.4,0.576923076923077,0.553846153846154,0.714285714285714,0.611111111111111,0.103174603174603,1,9,1,65,65,26,39,0.4,36,15,21,29,11,18,0.553846153846154,0.576923076923077,65,1,1,1,1,1,1,1,22,3,6,0,0,0,0,0,0,0,0,0
75,0.54,41,34,42,0.52,22,20,19,14,0.56,0.523809523809524,0.546666666666667,1.15789473684211,1.42857142857143,-0.270676691729323,1,24,2,80,75,42,33,0.56,34,20,14,41,22,19,0.453333333333333,0.476190476190476,80,1,1,1,0,2,0,2,23,3,6,0,0,0,0,0,0,0,0,0
75,0.56,43,32,40,0.52,21,19,22,13,0.533333333333333,0.525,0.573333333333333,0.954545454545455,1.46153846153846,-0.506993006993007,1,30,2,86,75,40,35,0.533333333333333,32,19,13,43,21,22,0.426666666666667,0.475,86,1,1,1,0,2,0,2,24,3,6,0,0,0,0,1,0,0,0,0
75,0.56,43,32,29,0.46,13,16,30,16,0.386666666666667,0.448275862068966,0.573333333333333,0.433333333333333,1,-0.566666666666667,0,28,2,28,75,29,46,0.386666666666667,32,16,16,43,13,30,0.426666666666667,0.551724137931034,28,1,1,1,0,2,0,2,25,3,6,0,0,0,0,1,0,0,0,0
75,0.52,39,36,25,0.52,13,12,26,24,0.333333333333333,0.52,0.52,0.5,0.5,0,1,12,2,68,75,25,50,0.333333333333333,36,12,24,39,13,26,0.48,0.48,180,1,2,3,0,2,1,1,26,4,8,0,1,2,3,0,1,0,1,0
